trial	perf_run1	perf_run2	perf_mean	perf_std	stair_run1	stair_run2	stair_mean	stair_std
1	NaN	NaN	NaN	NaN	3	4	3.5	0.5
2	NaN	NaN	NaN	NaN	3	4	3.5	0.5
3	NaN	NaN	NaN	NaN	3	4	3.5	0.5
4	NaN	NaN	NaN	NaN	3	4	3.5	0.5
5	NaN	NaN	NaN	NaN	3	4	3.5	0.5
6	NaN	NaN	NaN	NaN	3	4	3.5	0.5
7	NaN	NaN	NaN	NaN	3	4	3.5	0.5
8	NaN	NaN	NaN	NaN	3	4	3.5	0.5
9	NaN	NaN	NaN	NaN	3	4	3.5	0.5
10	NaN	NaN	NaN	NaN	3	4	3.5	0.5
11	NaN	NaN	NaN	NaN	4	5	4.5	0.5
12	0.0	0.0	0.0	0.0	5	5	5.0	0.0
13	0.0	0.5	0.25	0.25	5	5	5.0	0.0
14	0.3333333333333333	0.6666666666666666	0.5	0.16666666666666666	5	4	4.5	0.5
15	0.5	0.75	0.625	0.125	6	4	5.0	1.0
16	0.4	0.8	0.6000000000000001	0.2	7	4	5.5	1.5
17	0.3333333333333333	0.8333333333333334	0.5833333333333334	0.25	7	5	6.0	1.0
18	0.42857142857142855	0.7142857142857143	0.5714285714285714	0.14285714285714288	7	5	6.0	1.0
19	0.5	0.75	0.625	0.125	6	6	6.0	0.0
20	0.5555555555555556	0.6666666666666666	0.6111111111111112	0.055555555555555525	6	6	6.0	0.0
21	0.6	0.7	0.6499999999999999	0.04999999999999999	6	6	6.0	0.0
22	0.6363636363636364	0.7272727272727273	0.6818181818181819	0.04545454545454547	5	5	5.0	0.0
23	0.6666666666666666	0.75	0.7083333333333333	0.041666666666666685	5	5	5.0	0.0
24	0.6923076923076923	0.7692307692307693	0.7307692307692308	0.03846153846153849	5	5	5.0	0.0
25	0.7142857142857143	0.7857142857142857	0.75	0.0357142857142857	6	4	5.0	1.0
26	0.6666666666666666	0.8	0.7333333333333334	0.06666666666666671	6	4	5.0	1.0
27	0.6875	0.8125	0.75	0.0625	7	4	5.5	1.5
28	0.6470588235294118	0.8235294117647058	0.7352941176470589	0.08823529411764702	7	3	5.0	2.0
29	0.6666666666666666	0.8333333333333334	0.75	0.08333333333333337	7	3	5.0	2.0
30	0.6666666666666666	0.8333333333333334	0.75	0.08333333333333337	7	3	5.0	2.0
31	0.6666666666666666	0.8333333333333334	0.75	0.08333333333333337	7	3	5.0	2.0
32	0.6666666666666666	0.8333333333333334	0.75	0.08333333333333337	7	3	5.0	2.0
33	0.6666666666666666	0.8333333333333334	0.75	0.08333333333333337	7	3	5.0	2.0
34	0.6666666666666666	0.8333333333333334	0.75	0.08333333333333337	7	3	5.0	2.0
35	0.6666666666666666	0.8333333333333334	0.75	0.08333333333333337	7	3	5.0	2.0
36	0.6666666666666666	0.8333333333333334	0.75	0.08333333333333337	7	3	5.0	2.0
37	0.6666666666666666	0.8333333333333334	0.75	0.08333333333333337	7	3	5.0	2.0
38	0.6666666666666666	0.8333333333333334	0.75	0.08333333333333337	7	3	5.0	2.0
